2023-10-07 03:20:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.1253] Train:[36.73] Val:[34.40] Biased Test:[27.61] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[40.78]  Update Unbiased Test:[50.85] Best Unbiased Test:[50.89]| epoch:[7] | Time:[5.21 min] | [10.07%] [35.21%] [17.20%] [14.70%] [22.82%]
2023-10-07 03:20:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [17/200] Loss:[0.1163] Train:[38.70] Val:[38.46] Biased Test:[30.72] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[47.45]  Update Unbiased Test:[50.85] Best Unbiased Test:[50.89]| epoch:[7] | Time:[5.54 min] | [4.24%] [45.36%] [12.96%] [12.79%] [24.65%]
2023-10-07 03:20:46 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [18/200] Loss:[0.1327] Train:[36.27] Val:[40.62] Biased Test:[33.75] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[47.20]  Update Unbiased Test:[50.85] Best Unbiased Test:[50.89]| epoch:[7] | Time:[5.86 min] | [3.97%] [41.74%] [13.88%] [18.69%] [21.72%]
2023-10-07 03:21:05 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [19/200] Loss:[0.1361] Train:[30.27] Val:[39.50] Biased Test:[28.36] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[52.70]  Update Unbiased Test:[50.85] Best Unbiased Test:[52.70]| epoch:[7] | Time:[6.18 min] | [2.33%] [42.71%] [16.11%] [16.02%] [22.82%]
2023-10-07 03:21:24 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [20/200] Loss:[0.1224] Train:[29.80] Val:[35.61] Biased Test:[23.32] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[50.94]  Update Unbiased Test:[50.85] Best Unbiased Test:[52.70]| epoch:[7] | Time:[6.49 min] | [0.45%] [48.35%] [14.60%] [14.28%] [22.33%]
2023-10-07 03:21:43 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [21/200] Loss:[0.1141] Train:[29.75] Val:[36.44] Biased Test:[25.63] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[50.53]  Update Unbiased Test:[50.85] Best Unbiased Test:[52.70]| epoch:[7] | Time:[6.81 min] | [0.66%] [46.05%] [13.65%] [10.17%] [29.47%]
2023-10-07 03:22:02 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [22/200] Loss:[0.1093] Train:[28.95] Val:[33.50] Biased Test:[23.93] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[46.16]  Update Unbiased Test:[50.85] Best Unbiased Test:[52.70]| epoch:[7] | Time:[7.13 min] | [0.49%] [44.27%] [15.92%] [10.37%] [28.95%]
2023-10-07 03:22:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [23/200] Loss:[0.1207] Train:[35.65] Val:[40.00] Biased Test:[32.96] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[48.86]  Update Unbiased Test:[50.85] Best Unbiased Test:[52.70]| epoch:[7] | Time:[7.45 min] | [1.73%] [44.31%] [20.26%] [16.30%] [17.39%]
2023-10-07 03:22:40 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [24/200] Loss:[0.1207] Train:[32.16] Val:[39.70] Biased Test:[31.45] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[49.66]  Update Unbiased Test:[50.85] Best Unbiased Test:[52.70]| epoch:[7] | Time:[7.77 min] | [0.40%] [42.33%] [21.63%] [13.41%] [22.23%]
2023-10-07 03:22:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [25/200] Loss:[0.1142] Train:[38.57] Val:[41.22] Biased Test:[31.62] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[51.65]  Update Unbiased Test:[50.85] Best Unbiased Test:[52.70]| epoch:[7] | Time:[8.09 min] | [2.15%] [43.59%] [17.53%] [10.01%] [26.72%]
2023-10-07 03:23:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [26/200] Loss:[0.0940] Train:[37.69] Val:[42.39] Biased Test:[32.60] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[53.34]  Update Unbiased Test:[50.85] Best Unbiased Test:[53.34]| epoch:[7] | Time:[8.40 min] | [0.04%] [41.10%] [19.45%] [14.00%] [25.42%]
2023-10-07 03:23:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [27/200] Loss:[0.0903] Train:[35.34] Val:[43.23] Biased Test:[33.16] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[54.67]  Update Unbiased Test:[50.85] Best Unbiased Test:[54.67]| epoch:[7] | Time:[8.73 min] | [0.30%] [40.68%] [21.38%] [13.03%] [24.61%]
2023-10-07 03:23:57 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [28/200] Loss:[0.0821] Train:[35.40] Val:[42.80] Biased Test:[32.78] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[53.95]  Update Unbiased Test:[50.85] Best Unbiased Test:[54.67]| epoch:[7] | Time:[9.05 min] | [0.03%] [41.33%] [20.98%] [11.25%] [26.40%]
2023-10-07 03:24:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [29/200] Loss:[0.0854] Train:[36.70] Val:[44.23] Biased Test:[33.73] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[55.56]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[9.37 min] | [0.05%] [41.51%] [22.14%] [10.80%] [25.50%]
2023-10-07 03:24:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [30/200] Loss:[0.0877] Train:[35.06] Val:[36.77] Biased Test:[25.30] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[49.86]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[9.69 min] | [0.22%] [39.49%] [25.46%] [12.08%] [22.75%]
2023-10-07 03:24:55 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [31/200] Loss:[0.0855] Train:[33.79] Val:[39.06] Biased Test:[29.43] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[51.02]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[10.01 min] | [1.76%] [40.01%] [22.22%] [11.55%] [24.47%]
2023-10-07 03:25:14 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [32/200] Loss:[0.0900] Train:[37.92] Val:[41.18] Biased Test:[34.62] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[49.23]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[10.33 min] | [0.94%] [39.90%] [23.61%] [12.59%] [22.96%]
2023-10-07 03:25:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [33/200] Loss:[0.0882] Train:[39.38] Val:[38.25] Biased Test:[29.72] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[48.53]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[10.65 min] | [0.08%] [41.45%] [17.98%] [15.26%] [25.23%]
