2023-10-07 17:23:20 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.9444] Train:[72.18] Val:[38.56] Biased Test:[61.60] Update Biased Test:[61.60] Best Biased Test:[61.60]| Unbiased Test:[10.11]  Update Unbiased Test:[10.11] Best Unbiased Test:[10.11]| epoch:[0] | Time:[0.31 min] | [0.64%] [11.82%] [69.14%] [12.75%] [5.66%]
2023-10-07 17:23:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.8415] Train:[78.93] Val:[45.54] Biased Test:[73.03] Update Biased Test:[73.03] Best Biased Test:[73.03]| Unbiased Test:[11.57]  Update Unbiased Test:[11.57] Best Unbiased Test:[11.57]| epoch:[1] | Time:[0.60 min] | [1.54%] [15.13%] [61.92%] [17.80%] [3.61%]
2023-10-07 17:23:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.7785] Train:[79.43] Val:[41.02] Biased Test:[63.49] Update Biased Test:[73.03] Best Biased Test:[73.03]| Unbiased Test:[12.08]  Update Unbiased Test:[11.57] Best Unbiased Test:[12.08]| epoch:[1] | Time:[0.87 min] | [4.56%] [20.00%] [54.52%] [18.72%] [2.20%]
2023-10-07 17:24:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.7579] Train:[79.35] Val:[37.22] Biased Test:[55.37] Update Biased Test:[73.03] Best Biased Test:[73.03]| Unbiased Test:[12.59]  Update Unbiased Test:[11.57] Best Unbiased Test:[12.59]| epoch:[1] | Time:[1.15 min] | [6.06%] [14.84%] [60.27%] [13.73%] [5.10%]
2023-10-07 17:24:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.7444] Train:[79.27] Val:[49.66] Biased Test:[79.68] Update Biased Test:[79.68] Best Biased Test:[79.68]| Unbiased Test:[11.56]  Update Unbiased Test:[11.56] Best Unbiased Test:[12.59]| epoch:[4] | Time:[1.43 min] | [6.55%] [14.13%] [59.45%] [14.06%] [5.82%]
2023-10-07 17:24:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.6956] Train:[80.05] Val:[48.04] Biased Test:[70.21] Update Biased Test:[79.68] Best Biased Test:[79.68]| Unbiased Test:[13.86]  Update Unbiased Test:[11.56] Best Unbiased Test:[13.86]| epoch:[4] | Time:[1.70 min] | [7.31%] [14.25%] [54.02%] [20.40%] [4.02%]
2023-10-07 17:25:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.7728] Train:[77.65] Val:[34.34] Biased Test:[47.70] Update Biased Test:[79.68] Best Biased Test:[79.68]| Unbiased Test:[14.91]  Update Unbiased Test:[11.56] Best Unbiased Test:[14.91]| epoch:[4] | Time:[1.98 min] | [12.35%] [10.06%] [57.56%] [16.31%] [3.72%]
2023-10-07 17:25:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.6885] Train:[80.56] Val:[44.20] Biased Test:[63.86] Update Biased Test:[79.68] Best Biased Test:[79.68]| Unbiased Test:[15.52]  Update Unbiased Test:[11.56] Best Unbiased Test:[15.52]| epoch:[4] | Time:[2.25 min] | [11.76%] [10.75%] [58.86%] [14.53%] [4.11%]
2023-10-07 17:25:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.6530] Train:[80.82] Val:[56.20] Biased Test:[71.53] Update Biased Test:[71.53] Best Biased Test:[79.68]| Unbiased Test:[23.06]  Update Unbiased Test:[23.06] Best Unbiased Test:[23.06]| epoch:[8] | Time:[2.53 min] | [14.22%] [11.30%] [53.22%] [17.17%] [4.09%]
2023-10-07 17:25:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.5747] Train:[82.59] Val:[55.78] Biased Test:[76.54] Update Biased Test:[71.53] Best Biased Test:[79.68]| Unbiased Test:[20.74]  Update Unbiased Test:[23.06] Best Unbiased Test:[23.06]| epoch:[8] | Time:[2.80 min] | [12.49%] [20.26%] [43.53%] [20.58%] [3.14%]
2023-10-07 17:26:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.5653] Train:[82.69] Val:[49.38] Biased Test:[58.59] Update Biased Test:[71.53] Best Biased Test:[79.68]| Unbiased Test:[23.78]  Update Unbiased Test:[23.06] Best Unbiased Test:[23.78]| epoch:[8] | Time:[3.08 min] | [12.82%] [19.16%] [40.32%] [26.30%] [1.40%]
