2023-10-07 14:23:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.4412] Train:[85.88] Val:[38.74] Biased Test:[71.32] Update Biased Test:[71.32] Best Biased Test:[71.32]| Unbiased Test:[9.93]  Update Unbiased Test:[9.93] Best Unbiased Test:[9.93]| epoch:[0] | Time:[0.31 min] | [0.00%] [1.90%] [62.24%] [29.81%] [6.05%]
2023-10-07 14:23:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.3163] Train:[93.92] Val:[48.64] Biased Test:[93.40] Update Biased Test:[93.40] Best Biased Test:[93.40]| Unbiased Test:[10.62]  Update Unbiased Test:[10.62] Best Unbiased Test:[10.62]| epoch:[1] | Time:[0.60 min] | [0.00%] [0.00%] [45.78%] [46.64%] [7.58%]
2023-10-07 14:24:10 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.2954] Train:[93.94] Val:[48.58] Biased Test:[94.97] Update Biased Test:[93.40] Best Biased Test:[94.97]| Unbiased Test:[10.07]  Update Unbiased Test:[10.62] Best Unbiased Test:[10.62]| epoch:[1] | Time:[0.88 min] | [0.00%] [0.00%] [52.96%] [39.51%] [7.53%]
2023-10-07 14:24:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.2957] Train:[94.86] Val:[44.32] Biased Test:[85.55] Update Biased Test:[93.40] Best Biased Test:[94.97]| Unbiased Test:[10.18]  Update Unbiased Test:[10.62] Best Unbiased Test:[10.62]| epoch:[1] | Time:[1.15 min] | [0.00%] [0.00%] [49.12%] [45.91%] [4.97%]
2023-10-07 14:24:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.3309] Train:[93.62] Val:[46.06] Biased Test:[87.98] Update Biased Test:[93.40] Best Biased Test:[94.97]| Unbiased Test:[10.45]  Update Unbiased Test:[10.62] Best Unbiased Test:[10.62]| epoch:[1] | Time:[1.43 min] | [0.00%] [0.00%] [59.26%] [32.78%] [7.97%]
2023-10-07 14:24:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.3060] Train:[93.52] Val:[48.84] Biased Test:[94.82] Update Biased Test:[94.82] Best Biased Test:[94.97]| Unbiased Test:[10.36]  Update Unbiased Test:[10.36] Best Unbiased Test:[10.62]| epoch:[5] | Time:[1.70 min] | [0.00%] [0.00%] [64.39%] [27.01%] [8.60%]
2023-10-07 14:25:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.2475] Train:[94.91] Val:[48.90] Biased Test:[94.78] Update Biased Test:[94.78] Best Biased Test:[94.97]| Unbiased Test:[10.69]  Update Unbiased Test:[10.69] Best Unbiased Test:[10.69]| epoch:[6] | Time:[1.98 min] | [0.00%] [0.11%] [44.23%] [48.46%] [7.20%]
2023-10-07 14:25:32 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.2586] Train:[95.01] Val:[40.16] Biased Test:[75.65] Update Biased Test:[94.78] Best Biased Test:[94.97]| Unbiased Test:[11.17]  Update Unbiased Test:[10.69] Best Unbiased Test:[11.17]| epoch:[6] | Time:[2.25 min] | [0.00%] [0.00%] [43.23%] [48.51%] [8.26%]
2023-10-07 14:25:49 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.2891] Train:[93.83] Val:[49.06] Biased Test:[94.89] Update Biased Test:[94.89] Best Biased Test:[94.97]| Unbiased Test:[10.69]  Update Unbiased Test:[10.69] Best Unbiased Test:[11.17]| epoch:[8] | Time:[2.53 min] | [0.00%] [0.00%] [38.69%] [47.16%] [14.16%]
2023-10-07 14:26:05 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.2588] Train:[95.02] Val:[48.28] Biased Test:[89.15] Update Biased Test:[94.89] Best Biased Test:[94.97]| Unbiased Test:[11.62]  Update Unbiased Test:[10.69] Best Unbiased Test:[11.62]| epoch:[8] | Time:[2.81 min] | [0.00%] [0.00%] [30.29%] [52.14%] [17.57%]
2023-10-07 14:26:22 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.2768] Train:[94.37] Val:[41.16] Biased Test:[77.08] Update Biased Test:[94.89] Best Biased Test:[94.97]| Unbiased Test:[11.06]  Update Unbiased Test:[10.69] Best Unbiased Test:[11.62]| epoch:[8] | Time:[3.09 min] | [0.00%] [0.00%] [24.76%] [56.81%] [18.43%]
