2022-05-13 01:54:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.5910] Train:[32.65] Val:[10.78] Biased Test:[9.94] Update Biased Test:[9.94] Best Biased Test:[9.94]| Unbiased Test:[11.25]  Update Unbiased Test:[11.25] Best Unbiased Test:[11.25]| epoch:[0] | Time:[0.26 min] | [0.27%] [34.89%] [49.79%] [10.83%] [4.23%]
2022-05-13 01:55:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.3960] Train:[2.62] Val:[6.94] Biased Test:[3.05] Update Biased Test:[9.94] Best Biased Test:[9.94]| Unbiased Test:[12.97]  Update Unbiased Test:[11.25] Best Unbiased Test:[12.97]| epoch:[0] | Time:[0.52 min] | [8.87%] [60.95%] [22.04%] [4.75%] [3.39%]
2022-05-13 01:55:24 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.3902] Train:[2.95] Val:[5.78] Biased Test:[2.43] Update Biased Test:[9.94] Best Biased Test:[9.94]| Unbiased Test:[10.98]  Update Unbiased Test:[11.25] Best Unbiased Test:[12.97]| epoch:[0] | Time:[0.78 min] | [7.38%] [66.53%] [18.03%] [5.48%] [2.57%]
2022-05-13 01:55:39 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.3832] Train:[3.57] Val:[6.90] Biased Test:[2.74] Update Biased Test:[9.94] Best Biased Test:[9.94]| Unbiased Test:[12.48]  Update Unbiased Test:[11.25] Best Unbiased Test:[12.97]| epoch:[0] | Time:[1.03 min] | [14.61%] [61.88%] [18.33%] [4.29%] [0.90%]
2022-05-13 01:55:55 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.3777] Train:[4.57] Val:[11.64] Biased Test:[9.94] Update Biased Test:[9.94] Best Biased Test:[9.94]| Unbiased Test:[14.12]  Update Unbiased Test:[14.12] Best Unbiased Test:[14.12]| epoch:[4] | Time:[1.29 min] | [20.90%] [50.81%] [25.47%] [2.80%] [0.01%]
2022-05-13 01:56:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.3847] Train:[5.92] Val:[12.58] Biased Test:[9.42] Update Biased Test:[9.42] Best Biased Test:[9.94]| Unbiased Test:[16.65]  Update Unbiased Test:[16.65] Best Unbiased Test:[16.65]| epoch:[5] | Time:[1.56 min] | [18.80%] [56.99%] [21.00%] [2.73%] [0.47%]
2022-05-13 01:56:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.3709] Train:[4.46] Val:[10.14] Biased Test:[4.52] Update Biased Test:[9.42] Best Biased Test:[9.94]| Unbiased Test:[19.46]  Update Unbiased Test:[16.65] Best Unbiased Test:[19.46]| epoch:[5] | Time:[1.83 min] | [33.57%] [42.80%] [22.85%] [0.78%] [0.00%]
2022-05-13 01:56:43 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.3744] Train:[4.21] Val:[8.44] Biased Test:[3.59] Update Biased Test:[9.42] Best Biased Test:[9.94]| Unbiased Test:[15.56]  Update Unbiased Test:[16.65] Best Unbiased Test:[19.46]| epoch:[5] | Time:[2.09 min] | [42.61%] [42.97%] [14.30%] [0.12%] [0.00%]
2022-05-13 01:57:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.3648] Train:[4.59] Val:[8.94] Biased Test:[3.65] Update Biased Test:[9.42] Best Biased Test:[9.94]| Unbiased Test:[15.83]  Update Unbiased Test:[16.65] Best Unbiased Test:[19.46]| epoch:[5] | Time:[2.37 min] | [43.97%] [46.77%] [8.99%] [0.26%] [0.00%]
