2023-10-06 10:57:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.9850] Train:[70.17] Val:[36.16] Biased Test:[56.94] Update Biased Test:[56.94] Best Biased Test:[56.94]| Unbiased Test:[10.68]  Update Unbiased Test:[10.68] Best Unbiased Test:[10.68]| epoch:[0] | Time:[0.32 min] | [0.00%] [4.89%] [60.56%] [33.56%] [0.99%]
2023-10-06 10:58:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.8522] Train:[78.30] Val:[39.16] Biased Test:[62.41] Update Biased Test:[62.41] Best Biased Test:[62.41]| Unbiased Test:[13.15]  Update Unbiased Test:[13.15] Best Unbiased Test:[13.15]| epoch:[1] | Time:[0.61 min] | [0.00%] [1.70%] [57.87%] [38.35%] [2.08%]
2023-10-06 10:58:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.7974] Train:[78.77] Val:[42.26] Biased Test:[66.60] Update Biased Test:[66.60] Best Biased Test:[66.60]| Unbiased Test:[13.90]  Update Unbiased Test:[13.90] Best Unbiased Test:[13.90]| epoch:[2] | Time:[0.90 min] | [0.00%] [0.15%] [48.49%] [44.54%] [6.82%]
2023-10-06 10:58:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.8345] Train:[78.69] Val:[35.78] Biased Test:[54.70] Update Biased Test:[66.60] Best Biased Test:[66.60]| Unbiased Test:[14.45]  Update Unbiased Test:[13.90] Best Unbiased Test:[14.45]| epoch:[2] | Time:[1.18 min] | [0.00%] [6.03%] [43.33%] [45.71%] [4.93%]
2023-10-06 10:59:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.8138] Train:[78.69] Val:[43.28] Biased Test:[66.92] Update Biased Test:[66.92] Best Biased Test:[66.92]| Unbiased Test:[12.54]  Update Unbiased Test:[12.54] Best Unbiased Test:[14.45]| epoch:[4] | Time:[1.49 min] | [0.00%] [10.85%] [38.13%] [44.48%] [6.55%]
2023-10-06 10:59:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.7505] Train:[78.68] Val:[46.86] Biased Test:[72.84] Update Biased Test:[72.84] Best Biased Test:[72.84]| Unbiased Test:[14.53]  Update Unbiased Test:[14.53] Best Unbiased Test:[14.53]| epoch:[5] | Time:[1.78 min] | [0.00%] [11.89%] [31.46%] [50.34%] [6.31%]
2023-10-06 10:59:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.7088] Train:[79.54] Val:[45.30] Biased Test:[69.09] Update Biased Test:[72.84] Best Biased Test:[72.84]| Unbiased Test:[14.80]  Update Unbiased Test:[14.53] Best Unbiased Test:[14.80]| epoch:[5] | Time:[2.07 min] | [0.00%] [11.75%] [25.11%] [57.55%] [5.59%]
2023-10-06 10:59:52 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.6816] Train:[79.54] Val:[44.54] Biased Test:[69.28] Update Biased Test:[72.84] Best Biased Test:[72.84]| Unbiased Test:[13.18]  Update Unbiased Test:[14.53] Best Unbiased Test:[14.80]| epoch:[5] | Time:[2.36 min] | [0.00%] [17.18%] [19.37%] [56.55%] [6.90%]
2023-10-06 11:00:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.6523] Train:[79.84] Val:[42.82] Biased Test:[64.28] Update Biased Test:[72.84] Best Biased Test:[72.84]| Unbiased Test:[19.03]  Update Unbiased Test:[14.53] Best Unbiased Test:[19.03]| epoch:[5] | Time:[2.64 min] | [0.01%] [19.52%] [16.92%] [50.72%] [12.84%]
2023-10-06 11:00:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.6177] Train:[80.32] Val:[50.24] Biased Test:[73.77] Update Biased Test:[73.77] Best Biased Test:[73.77]| Unbiased Test:[20.85]  Update Unbiased Test:[20.85] Best Unbiased Test:[20.85]| epoch:[9] | Time:[2.93 min] | [0.02%] [20.16%] [15.78%] [35.20%] [28.84%]
2023-10-06 11:00:43 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.5909] Train:[80.87] Val:[44.70] Biased Test:[63.26] Update Biased Test:[73.77] Best Biased Test:[73.77]| Unbiased Test:[19.02]  Update Unbiased Test:[20.85] Best Unbiased Test:[20.85]| epoch:[9] | Time:[3.21 min] | [1.75%] [21.45%] [16.73%] [30.71%] [29.36%]
2023-10-06 11:01:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.6447] Train:[79.68] Val:[34.96] Biased Test:[48.32] Update Biased Test:[73.77] Best Biased Test:[73.77]| Unbiased Test:[22.88]  Update Unbiased Test:[20.85] Best Unbiased Test:[22.88]| epoch:[9] | Time:[3.50 min] | [1.15%] [19.63%] [21.05%] [32.90%] [25.28%]
2023-10-06 11:01:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.6013] Train:[81.35] Val:[41.16] Biased Test:[55.62] Update Biased Test:[73.77] Best Biased Test:[73.77]| Unbiased Test:[26.69]  Update Unbiased Test:[20.85] Best Unbiased Test:[26.69]| epoch:[9] | Time:[3.79 min] | [0.36%] [17.99%] [26.72%] [45.60%] [9.33%]
