2023-10-26 19:12:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [38/200] Loss:[0.1602] Train:[92.83] Val:[75.90] Biased Test:[84.85] Update Biased Test:[84.85] Best Biased Test:[84.94]| Unbiased Test:[69.44]  Update Unbiased Test:[69.44] Best Unbiased Test:[69.44]| Unseen Test:[68.09]  Update Unseen Test:[68.09] Best Unseen Test:[68.09]| epoch:[37] | Time:[7.33 min] | [26.88%] [39.35%] [18.73%] [8.45%] [6.59%]
2023-10-26 19:12:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [39/200] Loss:[0.1606] Train:[93.23] Val:[76.40] Biased Test:[84.79] Update Biased Test:[84.79] Best Biased Test:[84.94]| Unbiased Test:[69.67]  Update Unbiased Test:[69.67] Best Unbiased Test:[69.67]| Unseen Test:[68.43]  Update Unseen Test:[68.43] Best Unseen Test:[68.43]| epoch:[38] | Time:[7.53 min] | [27.15%] [39.77%] [18.69%] [8.60%] [5.80%]
2023-10-26 19:12:33 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [40/200] Loss:[0.1724] Train:[92.48] Val:[72.78] Biased Test:[81.53] Update Biased Test:[84.79] Best Biased Test:[84.94]| Unbiased Test:[63.35]  Update Unbiased Test:[69.67] Best Unbiased Test:[69.67]| Unseen Test:[60.68]  Update Unseen Test:[68.43] Best Unseen Test:[68.43]| epoch:[38] | Time:[7.75 min] | [26.70%] [42.32%] [17.68%] [7.71%] [5.60%]
2023-10-26 19:12:47 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [41/200] Loss:[0.1504] Train:[93.36] Val:[74.82] Biased Test:[82.86] Update Biased Test:[84.79] Best Biased Test:[84.94]| Unbiased Test:[66.76]  Update Unbiased Test:[69.67] Best Unbiased Test:[69.67]| Unseen Test:[63.51]  Update Unseen Test:[68.43] Best Unseen Test:[68.43]| epoch:[38] | Time:[7.98 min] | [25.80%] [42.47%] [16.95%] [8.68%] [6.09%]
2023-10-26 19:13:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [42/200] Loss:[0.1359] Train:[94.01] Val:[75.70] Biased Test:[84.75] Update Biased Test:[84.79] Best Biased Test:[84.94]| Unbiased Test:[66.15]  Update Unbiased Test:[69.67] Best Unbiased Test:[69.67]| Unseen Test:[63.71]  Update Unseen Test:[68.43] Best Unseen Test:[68.43]| epoch:[38] | Time:[8.20 min] | [25.75%] [43.62%] [16.49%] [8.28%] [5.85%]
2023-10-26 19:13:05 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.5649] Train:[26.32] Val:[6.50] Biased Test:[3.22] Update Biased Test:[3.22] Best Biased Test:[3.22]| Unbiased Test:[10.54]  Update Unbiased Test:[10.54] Best Unbiased Test:[10.54]| Unseen Test:[11.24]  Update Unseen Test:[11.24] Best Unseen Test:[11.24]| epoch:[0] | Time:[0.21 min] | [7.43%] [40.73%] [48.09%] [3.75%] [0.00%]
2023-10-26 19:13:13 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [43/200] Loss:[0.1406] Train:[94.12] Val:[74.60] Biased Test:[82.19] Update Biased Test:[84.79] Best Biased Test:[84.94]| Unbiased Test:[66.05]  Update Unbiased Test:[69.67] Best Unbiased Test:[69.67]| Unseen Test:[66.32]  Update Unseen Test:[68.43] Best Unseen Test:[68.43]| epoch:[38] | Time:[8.42 min] | [25.48%] [45.95%] [14.76%] [7.87%] [5.95%]
2023-10-26 19:13:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.4118] Train:[4.21] Val:[9.78] Biased Test:[4.17] Update Biased Test:[4.17] Best Biased Test:[4.17]| Unbiased Test:[18.24]  Update Unbiased Test:[18.24] Best Unbiased Test:[18.24]| Unseen Test:[15.29]  Update Unseen Test:[15.29] Best Unseen Test:[15.29]| epoch:[1] | Time:[0.39 min] | [24.96%] [17.25%] [57.79%] [0.00%] [0.00%]
2023-10-26 19:13:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [44/200] Loss:[0.1678] Train:[92.89] Val:[66.64] Biased Test:[75.05] Update Biased Test:[84.79] Best Biased Test:[84.94]| Unbiased Test:[56.53]  Update Unbiased Test:[69.67] Best Unbiased Test:[69.67]| Unseen Test:[56.70]  Update Unseen Test:[68.43] Best Unseen Test:[68.43]| epoch:[38] | Time:[8.63 min] | [26.43%] [41.98%] [17.29%] [8.83%] [5.48%]
2023-10-26 19:13:28 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.3988] Train:[5.27] Val:[13.30] Biased Test:[9.33] Update Biased Test:[9.33] Best Biased Test:[9.33]| Unbiased Test:[18.32]  Update Unbiased Test:[18.32] Best Unbiased Test:[18.32]| Unseen Test:[16.20]  Update Unseen Test:[16.20] Best Unseen Test:[16.20]| epoch:[2] | Time:[0.61 min] | [22.00%] [8.69%] [69.32%] [0.00%] [0.00%]
2023-10-26 19:13:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [45/200] Loss:[0.2033] Train:[91.33] Val:[76.40] Biased Test:[85.26] Update Biased Test:[84.79] Best Biased Test:[85.26]| Unbiased Test:[68.49]  Update Unbiased Test:[69.67] Best Unbiased Test:[69.67]| Unseen Test:[67.93]  Update Unseen Test:[68.43] Best Unseen Test:[68.43]| epoch:[38] | Time:[8.84 min] | [26.75%] [45.96%] [14.79%] [7.74%] [4.76%]
