2023-10-06 13:55:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.5464] Train:[26.45] Val:[5.80] Biased Test:[2.48] Update Biased Test:[2.48] Best Biased Test:[2.48]| Unbiased Test:[11.33]  Update Unbiased Test:[11.33] Best Unbiased Test:[11.33]| epoch:[0] | Time:[0.32 min] | [7.44%] [49.34%] [31.88%] [9.34%] [2.01%]
2023-10-06 13:55:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.4123] Train:[3.19] Val:[7.72] Biased Test:[2.96] Update Biased Test:[2.96] Best Biased Test:[2.96]| Unbiased Test:[12.88]  Update Unbiased Test:[12.88] Best Unbiased Test:[12.88]| epoch:[1] | Time:[0.61 min] | [19.20%] [57.72%] [10.41%] [8.53%] [4.14%]
2023-10-06 13:55:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.4168] Train:[3.74] Val:[7.42] Biased Test:[2.85] Update Biased Test:[2.96] Best Biased Test:[2.96]| Unbiased Test:[12.71]  Update Unbiased Test:[12.88] Best Unbiased Test:[12.88]| epoch:[1] | Time:[0.90 min] | [28.27%] [48.19%] [10.05%] [8.44%] [5.05%]
2023-10-06 13:56:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.4499] Train:[11.49] Val:[8.74] Biased Test:[5.13] Update Biased Test:[5.13] Best Biased Test:[5.13]| Unbiased Test:[14.14]  Update Unbiased Test:[14.14] Best Unbiased Test:[14.14]| epoch:[3] | Time:[1.19 min] | [32.34%] [39.80%] [11.31%] [11.03%] [5.51%]
2023-10-06 13:56:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.4072] Train:[6.38] Val:[7.96] Biased Test:[3.17] Update Biased Test:[5.13] Best Biased Test:[5.13]| Unbiased Test:[14.14]  Update Unbiased Test:[14.14] Best Unbiased Test:[14.14]| epoch:[3] | Time:[1.49 min] | [56.46%] [17.74%] [13.09%] [10.97%] [1.75%]
2023-10-06 13:56:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.3722] Train:[5.55] Val:[14.84] Biased Test:[10.54] Update Biased Test:[10.54] Best Biased Test:[10.54]| Unbiased Test:[21.70]  Update Unbiased Test:[21.70] Best Unbiased Test:[21.70]| epoch:[5] | Time:[1.78 min] | [43.13%] [27.64%] [14.89%] [14.25%] [0.09%]
2023-10-06 13:57:03 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.3777] Train:[7.44] Val:[19.92] Biased Test:[12.86] Update Biased Test:[12.86] Best Biased Test:[12.86]| Unbiased Test:[28.29]  Update Unbiased Test:[28.29] Best Unbiased Test:[28.29]| epoch:[6] | Time:[2.10 min] | [53.38%] [12.28%] [13.29%] [14.09%] [6.96%]
2023-10-06 13:57:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.3173] Train:[7.87] Val:[13.86] Biased Test:[5.70] Update Biased Test:[12.86] Best Biased Test:[12.86]| Unbiased Test:[23.91]  Update Unbiased Test:[28.29] Best Unbiased Test:[28.29]| epoch:[6] | Time:[2.40 min] | [47.74%] [16.24%] [9.44%] [12.65%] [13.93%]
2023-10-06 13:57:39 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.3075] Train:[8.78] Val:[18.48] Biased Test:[11.46] Update Biased Test:[12.86] Best Biased Test:[12.86]| Unbiased Test:[29.85]  Update Unbiased Test:[28.29] Best Unbiased Test:[29.85]| epoch:[6] | Time:[2.69 min] | [48.47%] [13.54%] [8.32%] [12.10%] [17.56%]
2023-10-06 13:57:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.3019] Train:[14.62] Val:[27.02] Biased Test:[19.71] Update Biased Test:[19.71] Best Biased Test:[19.71]| Unbiased Test:[38.11]  Update Unbiased Test:[38.11] Best Unbiased Test:[38.11]| epoch:[9] | Time:[2.98 min] | [49.37%] [13.98%] [8.84%] [9.56%] [18.26%]
2023-10-06 13:58:14 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.2789] Train:[18.84] Val:[25.20] Biased Test:[19.94] Update Biased Test:[19.71] Best Biased Test:[19.94]| Unbiased Test:[34.52]  Update Unbiased Test:[38.11] Best Unbiased Test:[38.11]| epoch:[9] | Time:[3.28 min] | [48.51%] [13.65%] [8.05%] [9.38%] [20.42%]
2023-10-06 13:58:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.2702] Train:[26.80] Val:[20.72] Biased Test:[10.68] Update Biased Test:[19.71] Best Biased Test:[19.94]| Unbiased Test:[33.59]  Update Unbiased Test:[38.11] Best Unbiased Test:[38.11]| epoch:[9] | Time:[3.57 min] | [46.71%] [17.45%] [8.28%] [7.97%] [19.59%]
2023-10-06 13:58:49 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.2460] Train:[27.98] Val:[33.80] Biased Test:[27.51] Update Biased Test:[27.51] Best Biased Test:[27.51]| Unbiased Test:[44.55]  Update Unbiased Test:[44.55] Best Unbiased Test:[44.55]| epoch:[12] | Time:[3.87 min] | [46.66%] [12.27%] [11.42%] [11.86%] [17.79%]
2023-10-06 13:59:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.2305] Train:[34.46] Val:[22.16] Biased Test:[17.55] Update Biased Test:[27.51] Best Biased Test:[27.51]| Unbiased Test:[32.57]  Update Unbiased Test:[44.55] Best Unbiased Test:[44.55]| epoch:[12] | Time:[4.17 min] | [42.49%] [19.18%] [10.90%] [7.77%] [19.66%]
