2023-11-28 17:29:41 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.9994] Train:[70.87] Val:[40.82] Biased Test:[64.92] Update Biased Test:[64.92] Best Biased Test:[64.92]| Unbiased Test:[10.88]  Update Unbiased Test:[10.88] Best Unbiased Test:[10.88]| Unseen Test:[10.80]  Update Unseen Test:[10.80] Best Unseen Test:[10.80]| epoch:[0] | Time:[0.13 min] | [0.01%] [4.92%] [56.07%] [33.09%] [5.91%]
2023-11-28 17:29:49 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.8776] Train:[78.73] Val:[45.08] Biased Test:[71.79] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[10.52]  Update Unbiased Test:[10.52] Best Unbiased Test:[10.88]| Unseen Test:[9.63]  Update Unseen Test:[9.63] Best Unseen Test:[10.80]| epoch:[1] | Time:[0.26 min] | [0.00%] [3.09%] [54.82%] [31.75%] [10.33%]
2023-11-28 17:29:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[1.0298] Train:[76.07] Val:[40.68] Biased Test:[63.07] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[11.43]  Update Unbiased Test:[10.52] Best Unbiased Test:[11.43]| Unseen Test:[10.73]  Update Unseen Test:[9.63] Best Unseen Test:[10.80]| epoch:[1] | Time:[0.44 min] | [0.00%] [3.98%] [62.38%] [26.26%] [7.38%]
2023-11-28 17:30:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.9350] Train:[78.51] Val:[42.44] Biased Test:[66.62] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[10.95]  Update Unbiased Test:[10.52] Best Unbiased Test:[11.43]| Unseen Test:[10.93]  Update Unseen Test:[9.63] Best Unseen Test:[10.93]| epoch:[1] | Time:[0.58 min] | [0.00%] [0.00%] [60.07%] [29.44%] [10.50%]
2023-11-28 17:30:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.9380] Train:[77.35] Val:[40.04] Biased Test:[61.74] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[11.15]  Update Unbiased Test:[10.52] Best Unbiased Test:[11.43]| Unseen Test:[10.95]  Update Unseen Test:[9.63] Best Unseen Test:[10.95]| epoch:[1] | Time:[0.71 min] | [0.00%] [1.87%] [49.17%] [38.72%] [10.24%]
2023-11-28 17:30:23 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.9016] Train:[78.63] Val:[40.80] Biased Test:[63.76] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[12.70]  Update Unbiased Test:[10.52] Best Unbiased Test:[12.70]| Unseen Test:[10.29]  Update Unseen Test:[9.63] Best Unseen Test:[10.95]| epoch:[1] | Time:[0.83 min] | [0.00%] [0.17%] [45.99%] [42.49%] [11.34%]
2023-11-28 17:30:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.8833] Train:[78.10] Val:[37.94] Biased Test:[56.83] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[13.05]  Update Unbiased Test:[10.52] Best Unbiased Test:[13.05]| Unseen Test:[11.27]  Update Unseen Test:[9.63] Best Unseen Test:[11.27]| epoch:[1] | Time:[0.96 min] | [0.00%] [0.66%] [46.12%] [37.48%] [15.74%]
2023-11-28 17:30:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.8320] Train:[79.03] Val:[26.74] Biased Test:[37.53] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[14.47]  Update Unbiased Test:[10.52] Best Unbiased Test:[14.47]| Unseen Test:[14.48]  Update Unseen Test:[9.63] Best Unseen Test:[14.48]| epoch:[1] | Time:[1.08 min] | [0.00%] [2.37%] [44.89%] [35.73%] [17.01%]
2023-11-28 17:30:46 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.7860] Train:[79.28] Val:[38.44] Biased Test:[56.77] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[14.52]  Update Unbiased Test:[10.52] Best Unbiased Test:[14.52]| Unseen Test:[12.83]  Update Unseen Test:[9.63] Best Unseen Test:[14.48]| epoch:[1] | Time:[1.21 min] | [0.00%] [9.70%] [30.97%] [44.29%] [15.04%]
2023-11-28 17:30:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.7801] Train:[79.70] Val:[40.20] Biased Test:[60.29] Update Biased Test:[71.79] Best Biased Test:[71.79]| Unbiased Test:[14.76]  Update Unbiased Test:[10.52] Best Unbiased Test:[14.76]| Unseen Test:[14.62]  Update Unseen Test:[9.63] Best Unseen Test:[14.62]| epoch:[1] | Time:[1.33 min] | [0.01%] [14.96%] [21.27%] [51.35%] [12.41%]
2023-11-28 17:31:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.7624] Train:[79.16] Val:[46.42] Biased Test:[67.88] Update Biased Test:[67.88] Best Biased Test:[71.79]| Unbiased Test:[19.26]  Update Unbiased Test:[19.26] Best Unbiased Test:[19.26]| Unseen Test:[17.94]  Update Unseen Test:[17.94] Best Unseen Test:[17.94]| epoch:[10] | Time:[1.45 min] | [2.66%] [13.48%] [10.08%] [58.93%] [14.85%]
2023-11-28 17:31:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.7088] Train:[80.48] Val:[45.80] Biased Test:[65.11] Update Biased Test:[67.88] Best Biased Test:[71.79]| Unbiased Test:[19.50]  Update Unbiased Test:[19.26] Best Unbiased Test:[19.50]| Unseen Test:[18.23]  Update Unseen Test:[17.94] Best Unseen Test:[18.23]| epoch:[10] | Time:[1.57 min] | [3.42%] [12.60%] [9.11%] [55.06%] [19.82%]
2023-11-28 17:31:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.6860] Train:[80.98] Val:[39.70] Biased Test:[55.78] Update Biased Test:[67.88] Best Biased Test:[71.79]| Unbiased Test:[20.96]  Update Unbiased Test:[19.26] Best Unbiased Test:[20.96]| Unseen Test:[19.25]  Update Unseen Test:[17.94] Best Unseen Test:[19.25]| epoch:[10] | Time:[1.70 min] | [4.55%] [11.17%] [8.18%] [53.70%] [22.40%]
