2023-11-28 22:06:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.2685] Train:[71.88] Val:[27.68] Biased Test:[33.70] Update Biased Test:[33.70] Best Biased Test:[33.70]| Unbiased Test:[21.62]  Update Unbiased Test:[21.62] Best Unbiased Test:[21.62]| Unseen Test:[19.62]  Update Unseen Test:[19.62] Best Unseen Test:[19.62]| epoch:[0] | Time:[0.15 min] | [17.31%] [29.45%] [27.52%] [23.91%] [1.81%]
2023-11-28 22:07:02 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.0998] Train:[35.87] Val:[29.95] Biased Test:[25.08] Update Biased Test:[25.08] Best Biased Test:[33.70]| Unbiased Test:[32.71]  Update Unbiased Test:[32.71] Best Unbiased Test:[32.71]| Unseen Test:[29.66]  Update Unseen Test:[29.66] Best Unseen Test:[29.66]| epoch:[1] | Time:[0.30 min] | [25.45%] [30.15%] [30.40%] [13.94%] [0.06%]
2023-11-28 22:07:14 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.0789] Train:[22.20] Val:[32.31] Biased Test:[27.91] Update Biased Test:[27.91] Best Biased Test:[33.70]| Unbiased Test:[33.91]  Update Unbiased Test:[33.91] Best Unbiased Test:[33.91]| Unseen Test:[37.77]  Update Unseen Test:[37.77] Best Unseen Test:[37.77]| epoch:[2] | Time:[0.50 min] | [25.11%] [36.91%] [36.80%] [1.18%] [0.00%]
2023-11-28 22:07:23 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.0736] Train:[22.79] Val:[24.60] Biased Test:[14.45] Update Biased Test:[27.91] Best Biased Test:[33.70]| Unbiased Test:[32.99]  Update Unbiased Test:[33.91] Best Unbiased Test:[33.91]| Unseen Test:[34.71]  Update Unseen Test:[37.77] Best Unseen Test:[37.77]| epoch:[2] | Time:[0.65 min] | [26.90%] [35.32%] [37.61%] [0.17%] [0.00%]
2023-11-28 22:07:32 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.0831] Train:[30.72] Val:[29.56] Biased Test:[14.50] Update Biased Test:[27.91] Best Biased Test:[33.70]| Unbiased Test:[40.25]  Update Unbiased Test:[33.91] Best Unbiased Test:[40.25]| Unseen Test:[41.92]  Update Unseen Test:[37.77] Best Unseen Test:[41.92]| epoch:[2] | Time:[0.81 min] | [23.57%] [39.09%] [37.07%] [0.27%] [0.00%]
2023-11-28 22:07:41 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.1166] Train:[31.98] Val:[37.49] Biased Test:[34.71] Update Biased Test:[34.71] Best Biased Test:[34.71]| Unbiased Test:[39.86]  Update Unbiased Test:[39.86] Best Unbiased Test:[40.25]| Unseen Test:[40.04]  Update Unseen Test:[40.04] Best Unseen Test:[41.92]| epoch:[5] | Time:[0.96 min] | [32.32%] [31.80%] [35.68%] [0.20%] [0.00%]
2023-11-28 22:07:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.0937] Train:[33.23] Val:[22.31] Biased Test:[15.56] Update Biased Test:[34.71] Best Biased Test:[34.71]| Unbiased Test:[28.12]  Update Unbiased Test:[39.86] Best Unbiased Test:[40.25]| Unseen Test:[29.96]  Update Unseen Test:[40.04] Best Unseen Test:[41.92]| epoch:[5] | Time:[1.11 min] | [31.67%] [65.74%] [2.58%] [0.00%] [0.00%]
2023-11-28 22:08:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.0637] Train:[28.74] Val:[36.03] Biased Test:[27.43] Update Biased Test:[34.71] Best Biased Test:[34.71]| Unbiased Test:[43.24]  Update Unbiased Test:[39.86] Best Unbiased Test:[43.24]| Unseen Test:[46.19]  Update Unseen Test:[40.04] Best Unseen Test:[46.19]| epoch:[5] | Time:[1.27 min] | [30.93%] [43.60%] [25.47%] [0.00%] [0.00%]
2023-11-28 22:08:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.0729] Train:[30.25] Val:[34.70] Biased Test:[31.55] Update Biased Test:[34.71] Best Biased Test:[34.71]| Unbiased Test:[37.03]  Update Unbiased Test:[39.86] Best Unbiased Test:[43.24]| Unseen Test:[37.53]  Update Unseen Test:[40.04] Best Unseen Test:[46.19]| epoch:[5] | Time:[1.42 min] | [36.20%] [26.61%] [36.56%] [0.63%] [0.00%]
2023-11-28 22:08:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.0628] Train:[28.67] Val:[34.42] Biased Test:[24.93] Update Biased Test:[34.71] Best Biased Test:[34.71]| Unbiased Test:[41.33]  Update Unbiased Test:[39.86] Best Unbiased Test:[43.24]| Unseen Test:[40.09]  Update Unseen Test:[40.04] Best Unseen Test:[46.19]| epoch:[5] | Time:[1.57 min] | [41.77%] [21.12%] [37.11%] [0.00%] [0.00%]
2023-11-28 22:08:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.0547] Train:[22.31] Val:[31.13] Biased Test:[14.73] Update Biased Test:[34.71] Best Biased Test:[34.71]| Unbiased Test:[44.55]  Update Unbiased Test:[39.86] Best Unbiased Test:[44.55]| Unseen Test:[44.70]  Update Unseen Test:[40.04] Best Unseen Test:[46.19]| epoch:[5] | Time:[1.70 min] | [47.26%] [13.62%] [39.11%] [0.00%] [0.00%]
