2023-11-28 21:06:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.5952] Train:[84.15] Val:[32.38] Biased Test:[54.99] Update Biased Test:[54.99] Best Biased Test:[54.99]| Unbiased Test:[13.05]  Update Unbiased Test:[13.05] Best Unbiased Test:[13.05]| Unseen Test:[13.91]  Update Unseen Test:[13.91] Best Unseen Test:[13.91]| epoch:[0] | Time:[0.15 min] | [1.17%] [19.87%] [62.66%] [10.98%] [5.31%]
2023-11-28 21:07:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.3492] Train:[92.57] Val:[50.60] Biased Test:[91.08] Update Biased Test:[91.08] Best Biased Test:[91.08]| Unbiased Test:[14.96]  Update Unbiased Test:[14.96] Best Unbiased Test:[14.96]| Unseen Test:[17.38]  Update Unseen Test:[17.38] Best Unseen Test:[17.38]| epoch:[1] | Time:[0.34 min] | [0.00%] [16.51%] [71.57%] [9.39%] [2.52%]
2023-11-28 21:07:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.2776] Train:[94.80] Val:[54.44] Biased Test:[92.97] Update Biased Test:[92.97] Best Biased Test:[92.97]| Unbiased Test:[21.14]  Update Unbiased Test:[21.14] Best Unbiased Test:[21.14]| Unseen Test:[22.41]  Update Unseen Test:[22.41] Best Unseen Test:[22.41]| epoch:[2] | Time:[0.49 min] | [0.00%] [20.27%] [62.22%] [14.89%] [2.61%]
2023-11-28 21:07:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.2656] Train:[94.45] Val:[56.82] Biased Test:[91.08] Update Biased Test:[91.08] Best Biased Test:[92.97]| Unbiased Test:[26.80]  Update Unbiased Test:[26.80] Best Unbiased Test:[26.80]| Unseen Test:[27.07]  Update Unseen Test:[27.07] Best Unseen Test:[27.07]| epoch:[3] | Time:[0.66 min] | [0.16%] [21.53%] [47.80%] [27.07%] [3.44%]
2023-11-28 21:07:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.2544] Train:[94.49] Val:[53.65] Biased Test:[88.24] Update Biased Test:[91.08] Best Biased Test:[92.97]| Unbiased Test:[22.99]  Update Unbiased Test:[26.80] Best Unbiased Test:[26.80]| Unseen Test:[25.09]  Update Unseen Test:[27.07] Best Unseen Test:[27.07]| epoch:[3] | Time:[0.82 min] | [0.03%] [27.72%] [44.44%] [16.89%] [10.92%]
2023-11-28 21:07:45 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.2469] Train:[95.18] Val:[56.00] Biased Test:[93.47] Update Biased Test:[91.08] Best Biased Test:[93.47]| Unbiased Test:[23.12]  Update Unbiased Test:[26.80] Best Unbiased Test:[26.80]| Unseen Test:[25.58]  Update Unseen Test:[27.07] Best Unseen Test:[27.07]| epoch:[3] | Time:[0.97 min] | [0.00%] [26.64%] [42.24%] [16.91%] [14.20%]
2023-11-28 21:07:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.2320] Train:[94.92] Val:[56.21] Biased Test:[89.37] Update Biased Test:[91.08] Best Biased Test:[93.47]| Unbiased Test:[25.88]  Update Unbiased Test:[26.80] Best Unbiased Test:[26.80]| Unseen Test:[27.65]  Update Unseen Test:[27.07] Best Unseen Test:[27.65]| epoch:[3] | Time:[1.12 min] | [0.00%] [28.46%] [43.02%] [15.18%] [13.34%]
2023-11-28 21:08:03 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.2033] Train:[94.51] Val:[60.67] Biased Test:[95.47] Update Biased Test:[95.47] Best Biased Test:[95.47]| Unbiased Test:[29.14]  Update Unbiased Test:[29.14] Best Unbiased Test:[29.14]| Unseen Test:[35.74]  Update Unseen Test:[35.74] Best Unseen Test:[35.74]| epoch:[7] | Time:[1.26 min] | [1.81%] [35.25%] [36.19%] [14.09%] [12.65%]
2023-11-28 21:08:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.1396] Train:[96.00] Val:[50.38] Biased Test:[80.63] Update Biased Test:[95.47] Best Biased Test:[95.47]| Unbiased Test:[24.43]  Update Unbiased Test:[29.14] Best Unbiased Test:[29.14]| Unseen Test:[24.68]  Update Unseen Test:[35.74] Best Unseen Test:[35.74]| epoch:[7] | Time:[1.40 min] | [4.37%] [35.95%] [31.99%] [13.80%] [13.89%]
2023-11-28 21:08:20 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.3120] Train:[92.80] Val:[58.95] Biased Test:[93.58] Update Biased Test:[95.47] Best Biased Test:[95.47]| Unbiased Test:[27.99]  Update Unbiased Test:[29.14] Best Unbiased Test:[29.14]| Unseen Test:[27.59]  Update Unseen Test:[35.74] Best Unseen Test:[35.74]| epoch:[7] | Time:[1.54 min] | [0.74%] [36.66%] [33.95%] [11.83%] [16.81%]
2023-11-28 21:08:28 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.2162] Train:[95.08] Val:[51.22] Biased Test:[78.34] Update Biased Test:[95.47] Best Biased Test:[95.47]| Unbiased Test:[26.61]  Update Unbiased Test:[29.14] Best Unbiased Test:[29.14]| Unseen Test:[30.19]  Update Unseen Test:[35.74] Best Unseen Test:[35.74]| epoch:[7] | Time:[1.69 min] | [0.01%] [30.81%] [42.62%] [10.61%] [15.96%]
