2023-11-28 17:59:02 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.2871] Train:[37.78] Val:[35.46] Biased Test:[29.57] Update Biased Test:[30.18] Best Biased Test:[30.18]| Unbiased Test:[41.21]  Update Unbiased Test:[40.35] Best Unbiased Test:[41.21]| Unseen Test:[28.65]  Update Unseen Test:[26.89] Best Unseen Test:[28.65]| epoch:[11] | Time:[1.86 min] | [15.63%] [0.79%] [83.57%] [0.00%] [0.00%]
2023-11-28 17:59:10 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.2370] Train:[47.19] Val:[22.00] Biased Test:[18.65] Update Biased Test:[30.18] Best Biased Test:[30.18]| Unbiased Test:[29.25]  Update Unbiased Test:[40.35] Best Unbiased Test:[41.21]| Unseen Test:[19.92]  Update Unseen Test:[26.89] Best Unseen Test:[28.65]| epoch:[11] | Time:[2.00 min] | [15.40%] [0.74%] [83.87%] [0.00%] [0.00%]
2023-11-28 17:59:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.2456] Train:[52.03] Val:[47.78] Biased Test:[46.89] Update Biased Test:[46.89] Best Biased Test:[46.89]| Unbiased Test:[52.50]  Update Unbiased Test:[52.50] Best Unbiased Test:[52.50]| Unseen Test:[38.49]  Update Unseen Test:[38.49] Best Unseen Test:[38.49]| epoch:[14] | Time:[2.14 min] | [15.10%] [0.61%] [84.29%] [0.00%] [0.00%]
2023-11-28 17:59:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.2285] Train:[52.00] Val:[37.10] Biased Test:[36.21] Update Biased Test:[46.89] Best Biased Test:[46.89]| Unbiased Test:[38.07]  Update Unbiased Test:[52.50] Best Unbiased Test:[52.50]| Unseen Test:[26.82]  Update Unseen Test:[38.49] Best Unseen Test:[38.49]| epoch:[14] | Time:[2.28 min] | [14.66%] [0.71%] [84.62%] [0.00%] [0.00%]
2023-11-28 17:59:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [17/200] Loss:[0.2357] Train:[55.82] Val:[43.84] Biased Test:[45.49] Update Biased Test:[46.89] Best Biased Test:[46.89]| Unbiased Test:[40.78]  Update Unbiased Test:[52.50] Best Unbiased Test:[52.50]| Unseen Test:[32.16]  Update Unseen Test:[38.49] Best Unseen Test:[38.49]| epoch:[14] | Time:[2.41 min] | [13.94%] [0.95%] [85.11%] [0.00%] [0.00%]
2023-11-28 17:59:43 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [18/200] Loss:[0.2687] Train:[54.08] Val:[48.56] Biased Test:[48.31] Update Biased Test:[48.31] Best Biased Test:[48.31]| Unbiased Test:[47.85]  Update Unbiased Test:[47.85] Best Unbiased Test:[52.50]| Unseen Test:[33.65]  Update Unseen Test:[33.65] Best Unseen Test:[38.49]| epoch:[17] | Time:[2.54 min] | [12.49%] [0.92%] [86.59%] [0.00%] [0.00%]
2023-11-28 17:59:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [19/200] Loss:[0.2160] Train:[57.94] Val:[47.12] Biased Test:[48.80] Update Biased Test:[48.31] Best Biased Test:[48.80]| Unbiased Test:[46.90]  Update Unbiased Test:[47.85] Best Unbiased Test:[52.50]| Unseen Test:[33.39]  Update Unseen Test:[33.65] Best Unseen Test:[38.49]| epoch:[17] | Time:[2.67 min] | [12.54%] [0.85%] [86.61%] [0.00%] [0.00%]
2023-11-28 17:59:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [20/200] Loss:[0.2002] Train:[59.19] Val:[54.90] Biased Test:[56.30] Update Biased Test:[56.30] Best Biased Test:[56.30]| Unbiased Test:[55.64]  Update Unbiased Test:[55.64] Best Unbiased Test:[55.64]| Unseen Test:[40.60]  Update Unseen Test:[40.60] Best Unseen Test:[40.60]| epoch:[19] | Time:[2.80 min] | [12.30%] [0.79%] [86.92%] [0.00%] [0.00%]
2023-11-28 18:00:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [21/200] Loss:[0.2239] Train:[64.96] Val:[42.78] Biased Test:[48.84] Update Biased Test:[56.30] Best Biased Test:[56.30]| Unbiased Test:[42.91]  Update Unbiased Test:[55.64] Best Unbiased Test:[55.64]| Unseen Test:[30.86]  Update Unseen Test:[40.60] Best Unseen Test:[40.60]| epoch:[19] | Time:[2.94 min] | [10.59%] [0.30%] [89.11%] [0.00%] [0.00%]
2023-11-28 18:00:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [22/200] Loss:[0.2103] Train:[62.62] Val:[46.06] Biased Test:[47.02] Update Biased Test:[56.30] Best Biased Test:[56.30]| Unbiased Test:[44.60]  Update Unbiased Test:[55.64] Best Unbiased Test:[55.64]| Unseen Test:[32.72]  Update Unseen Test:[40.60] Best Unseen Test:[40.60]| epoch:[19] | Time:[3.08 min] | [10.28%] [0.05%] [89.67%] [0.00%] [0.00%]
