2023-11-28 16:01:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.4005] Train:[88.72] Val:[44.70] Biased Test:[86.40] Update Biased Test:[86.40] Best Biased Test:[86.40]| Unbiased Test:[10.07]  Update Unbiased Test:[10.07] Best Unbiased Test:[10.07]| Unseen Test:[10.19]  Update Unseen Test:[10.19] Best Unseen Test:[10.19]| epoch:[0] | Time:[0.14 min] | [0.00%] [5.47%] [79.15%] [15.36%] [0.01%]
2023-11-28 16:01:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.2935] Train:[94.02] Val:[38.00] Biased Test:[72.81] Update Biased Test:[86.40] Best Biased Test:[86.40]| Unbiased Test:[9.92]  Update Unbiased Test:[10.07] Best Unbiased Test:[10.07]| Unseen Test:[9.82]  Update Unseen Test:[10.19] Best Unseen Test:[10.19]| epoch:[0] | Time:[0.27 min] | [0.00%] [4.19%] [77.66%] [15.06%] [3.09%]
2023-11-28 16:01:52 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.2861] Train:[95.07] Val:[45.52] Biased Test:[87.49] Update Biased Test:[87.49] Best Biased Test:[87.49]| Unbiased Test:[10.04]  Update Unbiased Test:[10.04] Best Unbiased Test:[10.07]| Unseen Test:[9.97]  Update Unseen Test:[9.97] Best Unseen Test:[10.19]| epoch:[2] | Time:[0.40 min] | [0.00%] [8.58%] [77.54%] [11.29%] [2.59%]
2023-11-28 16:01:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.3967] Train:[93.20] Val:[46.14] Biased Test:[86.40] Update Biased Test:[86.40] Best Biased Test:[87.49]| Unbiased Test:[10.94]  Update Unbiased Test:[10.94] Best Unbiased Test:[10.94]| Unseen Test:[10.02]  Update Unseen Test:[10.02] Best Unseen Test:[10.19]| epoch:[3] | Time:[0.53 min] | [0.00%] [1.09%] [87.10%] [11.73%] [0.08%]
2023-11-28 16:02:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.3605] Train:[94.74] Val:[45.56] Biased Test:[84.29] Update Biased Test:[86.40] Best Biased Test:[87.49]| Unbiased Test:[11.21]  Update Unbiased Test:[10.94] Best Unbiased Test:[11.21]| Unseen Test:[9.67]  Update Unseen Test:[10.02] Best Unseen Test:[10.19]| epoch:[3] | Time:[0.67 min] | [0.00%] [0.77%] [77.79%] [15.09%] [6.35%]
2023-11-28 16:02:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.3432] Train:[94.64] Val:[44.46] Biased Test:[85.92] Update Biased Test:[86.40] Best Biased Test:[87.49]| Unbiased Test:[10.02]  Update Unbiased Test:[10.94] Best Unbiased Test:[11.21]| Unseen Test:[9.93]  Update Unseen Test:[10.02] Best Unseen Test:[10.19]| epoch:[3] | Time:[0.80 min] | [0.00%] [2.48%] [74.55%] [22.19%] [0.78%]
2023-11-28 16:02:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.2968] Train:[95.09] Val:[43.26] Biased Test:[81.12] Update Biased Test:[86.40] Best Biased Test:[87.49]| Unbiased Test:[11.26]  Update Unbiased Test:[10.94] Best Unbiased Test:[11.26]| Unseen Test:[12.11]  Update Unseen Test:[10.02] Best Unseen Test:[12.11]| epoch:[3] | Time:[0.95 min] | [0.00%] [6.76%] [60.32%] [31.38%] [1.54%]
2023-11-28 16:02:33 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.3057] Train:[93.94] Val:[48.40] Biased Test:[93.34] Update Biased Test:[93.34] Best Biased Test:[93.34]| Unbiased Test:[10.39]  Update Unbiased Test:[10.39] Best Unbiased Test:[11.26]| Unseen Test:[9.75]  Update Unseen Test:[9.75] Best Unseen Test:[12.11]| epoch:[7] | Time:[1.09 min] | [1.20%] [7.37%] [47.92%] [43.35%] [0.16%]
2023-11-28 16:02:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.2606] Train:[95.04] Val:[43.80] Biased Test:[81.11] Update Biased Test:[93.34] Best Biased Test:[93.34]| Unbiased Test:[10.97]  Update Unbiased Test:[10.39] Best Unbiased Test:[11.26]| Unseen Test:[9.73]  Update Unseen Test:[9.75] Best Unseen Test:[12.11]| epoch:[7] | Time:[1.23 min] | [1.95%] [6.99%] [41.89%] [49.17%] [0.00%]
2023-11-28 16:02:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.2500] Train:[95.02] Val:[49.58] Biased Test:[94.73] Update Biased Test:[94.73] Best Biased Test:[94.73]| Unbiased Test:[10.76]  Update Unbiased Test:[10.76] Best Unbiased Test:[11.26]| Unseen Test:[10.59]  Update Unseen Test:[10.59] Best Unseen Test:[12.11]| epoch:[9] | Time:[1.37 min] | [0.48%] [7.31%] [49.77%] [42.44%] [0.01%]
2023-11-28 16:02:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.2596] Train:[94.90] Val:[49.36] Biased Test:[94.95] Update Biased Test:[94.73] Best Biased Test:[94.95]| Unbiased Test:[10.47]  Update Unbiased Test:[10.76] Best Unbiased Test:[11.26]| Unseen Test:[11.00]  Update Unseen Test:[10.59] Best Unseen Test:[12.11]| epoch:[9] | Time:[1.51 min] | [0.07%] [4.10%] [64.82%] [31.00%] [0.00%]
