2023-11-28 19:35:05 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.6463] Train:[78.78] Val:[39.24] Biased Test:[62.21] Update Biased Test:[62.21] Best Biased Test:[62.21]| Unbiased Test:[16.55]  Update Unbiased Test:[16.55] Best Unbiased Test:[16.55]| Unseen Test:[16.63]  Update Unseen Test:[16.63] Best Unseen Test:[16.63]| epoch:[0] | Time:[0.15 min] | [0.60%] [10.79%] [69.51%] [15.57%] [3.53%]
2023-11-28 19:35:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.3805] Train:[89.48] Val:[48.14] Biased Test:[77.82] Update Biased Test:[77.82] Best Biased Test:[77.82]| Unbiased Test:[18.29]  Update Unbiased Test:[18.29] Best Unbiased Test:[18.29]| Unseen Test:[26.37]  Update Unseen Test:[26.37] Best Unseen Test:[26.37]| epoch:[1] | Time:[0.34 min] | [0.03%] [10.08%] [70.10%] [16.32%] [3.46%]
2023-11-28 19:35:24 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.3233] Train:[90.58] Val:[59.45] Biased Test:[86.47] Update Biased Test:[86.47] Best Biased Test:[86.47]| Unbiased Test:[32.63]  Update Unbiased Test:[32.63] Best Unbiased Test:[32.63]| Unseen Test:[30.29]  Update Unseen Test:[30.29] Best Unseen Test:[30.29]| epoch:[2] | Time:[0.48 min] | [0.00%] [22.30%] [54.12%] [19.94%] [3.63%]
2023-11-28 19:35:33 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.3243] Train:[90.14] Val:[56.94] Biased Test:[80.74] Update Biased Test:[86.47] Best Biased Test:[86.47]| Unbiased Test:[31.83]  Update Unbiased Test:[32.63] Best Unbiased Test:[32.63]| Unseen Test:[31.77]  Update Unseen Test:[30.29] Best Unseen Test:[31.77]| epoch:[2] | Time:[0.62 min] | [0.07%] [18.44%] [55.24%] [17.30%] [8.95%]
2023-11-28 19:35:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.3215] Train:[90.48] Val:[59.46] Biased Test:[88.34] Update Biased Test:[88.34] Best Biased Test:[88.34]| Unbiased Test:[30.56]  Update Unbiased Test:[30.56] Best Unbiased Test:[32.63]| Unseen Test:[33.22]  Update Unseen Test:[33.22] Best Unseen Test:[33.22]| epoch:[4] | Time:[0.77 min] | [4.95%] [28.74%] [41.80%] [13.90%] [10.61%]
2023-11-28 19:35:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.2770] Train:[92.27] Val:[64.40] Biased Test:[90.67] Update Biased Test:[90.67] Best Biased Test:[90.67]| Unbiased Test:[37.61]  Update Unbiased Test:[37.61] Best Unbiased Test:[37.61]| Unseen Test:[41.23]  Update Unseen Test:[41.23] Best Unseen Test:[41.23]| epoch:[5] | Time:[0.91 min] | [3.41%] [23.71%] [43.56%] [15.53%] [13.79%]
2023-11-28 19:35:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.2698] Train:[92.08] Val:[59.41] Biased Test:[88.48] Update Biased Test:[90.67] Best Biased Test:[90.67]| Unbiased Test:[29.99]  Update Unbiased Test:[37.61] Best Unbiased Test:[37.61]| Unseen Test:[32.26]  Update Unseen Test:[41.23] Best Unseen Test:[41.23]| epoch:[5] | Time:[1.06 min] | [7.89%] [26.86%] [33.02%] [15.25%] [16.99%]
2023-11-28 19:36:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.2341] Train:[91.96] Val:[64.25] Biased Test:[91.27] Update Biased Test:[90.67] Best Biased Test:[91.27]| Unbiased Test:[37.40]  Update Unbiased Test:[37.61] Best Unbiased Test:[37.61]| Unseen Test:[40.63]  Update Unseen Test:[41.23] Best Unseen Test:[41.23]| epoch:[5] | Time:[1.20 min] | [9.42%] [25.99%] [30.70%] [14.34%] [19.55%]
2023-11-28 19:36:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.2185] Train:[92.45] Val:[63.58] Biased Test:[87.90] Update Biased Test:[90.67] Best Biased Test:[91.27]| Unbiased Test:[40.25]  Update Unbiased Test:[37.61] Best Unbiased Test:[40.25]| Unseen Test:[43.70]  Update Unseen Test:[41.23] Best Unseen Test:[43.70]| epoch:[5] | Time:[1.36 min] | [12.69%] [25.99%] [30.66%] [12.55%] [18.10%]
2023-11-28 19:36:28 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.2081] Train:[93.15] Val:[62.15] Biased Test:[84.37] Update Biased Test:[90.67] Best Biased Test:[91.27]| Unbiased Test:[39.64]  Update Unbiased Test:[37.61] Best Unbiased Test:[40.25]| Unseen Test:[41.98]  Update Unseen Test:[41.23] Best Unseen Test:[43.70]| epoch:[5] | Time:[1.53 min] | [13.67%] [24.77%] [29.40%] [13.60%] [18.56%]
2023-11-28 19:36:37 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.2589] Train:[91.86] Val:[52.68] Biased Test:[69.62] Update Biased Test:[90.67] Best Biased Test:[91.27]| Unbiased Test:[35.05]  Update Unbiased Test:[37.61] Best Unbiased Test:[40.25]| Unseen Test:[34.91]  Update Unseen Test:[41.23] Best Unseen Test:[43.70]| epoch:[5] | Time:[1.69 min] | [11.85%] [25.75%] [28.54%] [14.13%] [19.73%]
